Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1852,The Call of the Wild,Jack London,"London, Jack",Avi,"=""""","=""""",0,3.91,Scholastic,Mass Market Paperback,172,2001,1903,,2024/12/26,to-read,to-read (#738),to-read,,,,0,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,4.24,Harvest Books,Paperback,311,2004,1966,,2024/12/26,to-read,to-read (#737),to-read,,,,0,0
9915,Less Than Zero,Bret Easton Ellis,"Ellis, Bret Easton",Rachel Kushner,"=""""","=""""",0,3.61,Vintage Books,Paperback,208,2010,1985,,2024/12/26,to-read,to-read (#736),to-read,,,,0,0
8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,"=""0375759239""","=""9780375759239""",0,3.83,Random House Publishing Group,Paperback,192,2002,1898,,2024/12/26,to-read,to-read (#735),to-read,,,,0,0
52357,Beowulf,Unknown,"Unknown, Unknown",Seamus Heaney,"=""0393320979""","=""9780393320978""",0,3.50,W.W. Norton & Company,Paperback,259,2001,1000,,2024/12/26,to-read,to-read (#734),to-read,,,,0,0
34457591,Wayward Spirits (Witches of Palmetto Point #2),Wendy Wang,"Wang, Wendy",,"=""""","=""""",0,4.42,,Kindle Edition,434,2017,,,2024/12/26,to-read,to-read (#733),to-read,,,,0,0
6295,Howl and Other Poems,Allen Ginsberg,"Ginsberg, Allen",William Carlos Williams,"=""0872863107""","=""9780872863101""",0,4.13,City Lights,Hardcover,56,2001,1956,,2024/12/26,to-read,to-read (#732),to-read,,,,0,0
40409718,Post Office,Charles Bukowski,"Bukowski, Charles",,"=""""","=""""",0,3.93,Ecco,ebook,162,2009,1971,,2024/12/26,to-read,to-read (#731),to-read,,,,0,0
38500,Women,Charles Bukowski,"Bukowski, Charles",,"=""0061177598""","=""9780061177590""",0,3.80,Ecco,Paperback,291,2007,1978,,2024/12/26,to-read,to-read (#730),to-read,,,,0,0
30068,"The Book of the Dead (Pendergast, #7; Diogenes, #3)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446576980""","=""9780446576987""",0,4.17,Grand Central Publishing,Hardcover,454,2006,2006,,2024/12/26,to-read,to-read (#729),to-read,,,,0,0
216912892,Black Fox: An Indigenous Horror Novel,Jack Moffet,"Moffet, Jack",,"=""""","=""""",0,4.00,,Kindle Edition,425,2024,2024,,2024/12/26,to-read,to-read (#728),to-read,,,,0,0
42407370,"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",Michael Brodkorb,"Brodkorb, Michael",Allison Mann,"=""1634891848""","=""9781634891844""",0,3.71,Wise Ink Creative Publishing,Kindle Edition,506,2018,2018,,2024/12/26,to-read,to-read (#727),to-read,,,,0,0
202080365,The Last Guest House,Caroline Mitchell,"Mitchell, Caroline",,"=""1471413748""","=""9781471413742""",0,3.78,Embla Books,Kindle Edition,237,2024,2024,,2024/12/26,to-read,to-read (#726),to-read,,,,0,0
51887334,"The Standoff (Jack Widow, #12)",Scott Blade,"Blade, Scott",,"=""""","=""""",0,4.42,Black Lion Media,ebook,564,2019,2019,,2024/12/26,to-read,to-read (#725),to-read,,,,0,0
60871061,"The Witches of Scotland (The Dream Dancers: Akashic Chronicles, #1)",Steven P. Aitchison,"Aitchison, Steven P.",,"=""""","=""""",0,3.95,CYT Media LTD.,Kindle Edition,206,2022,,,2024/12/26,to-read,to-read (#724),to-read,,,,0,0
23919,The Complete Stories and Poems,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0385074077""","=""9780385074070""",0,4.40,"Doubleday & Company, Inc.",Hardcover,821,1984,1849,,2024/12/26,to-read,to-read (#723),to-read,,,,0,0
57891,Battle Royale,Koushun Takami,"Takami, Koushun",,"=""156931778X""","=""9781569317785""",0,4.26,"VIZ, LLC",Paperback,624,2003,1999,,2024/12/26,to-read,to-read (#722),to-read,,,,0,0
7437,Naked Lunch: The Restored Text,William S. Burroughs,"Burroughs, William S.","James Grauerholz, Barry Miles","=""0802140181""","=""9780802140180""",0,3.46,Grove Press,Paperback,289,2004,1959,,2024/12/26,to-read,to-read (#720),to-read,,,,0,0
204350947,Mean Spirited,Nick  Roberts,"Roberts, Nick",,"=""""","=""""",0,4.26,Crystal Lake Publishing,ebook,325,2024,2024,,2024/12/26,to-read,to-read (#721),to-read,,,,0,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Donald Fanger","=""067973452X""","=""9780679734529""",0,4.17,Vintage Classics,Paperback,136,1994,1864,,2024/12/26,to-read,to-read (#719),to-read,,,,0,0
17716,Waiting for Godot,Samuel Beckett,"Beckett, Samuel",,"=""""","=""""",0,3.84,Grove,Paperback,109,2011,1951,,2024/12/26,to-read,to-read (#718),to-read,,,,0,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.06,Dell Publishing,Paperback,303,1999,1973,,2024/12/26,to-read,to-read (#717),to-read,,,,0,0
76620,"Watership Down (Watership Down, #1)",Richard  Adams,"Adams, Richard",,"=""038039586X""","=""9780380395866""",0,4.09,Avon Books,Mass Market Paperback,478,1975,1972,,2024/12/26,to-read,to-read (#716),to-read,,,,0,0
19543,Where the Wild Things Are,Maurice Sendak,"Sendak, Maurice",,"=""0099408392""","=""9780099408390""",0,4.26,Red Fox,Paperback,38,2000,1963,,2024/12/26,to-read,to-read (#715),to-read,,,,0,0
197122500,Framed & Hunted: A True Story of Occult Persecution,Edward        Williams,"Williams, Edward",,"=""""","=""""",0,4.32,Phantom Ant Publishing,ebook,427,2023,,,2024/12/26,to-read,to-read (#714),to-read,,,,0,0
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",0,3.89,Grove Press,Paperback,394,1994,1980,,2024/12/26,to-read,to-read (#713),to-read,,,,0,0
135479,Cat’s Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.15,Penguin,Paperback,306,1999,1963,,2024/12/26,to-read,to-read (#711),to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.27,St. Martin's Griffin,Paperback,264,2004,1939,,2024/12/26,to-read,to-read (#712),to-read,,,,0,0
18131,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""0440498058""","=""9780440498056""",0,3.97,Yearling Books,Paperback,211,1973,1962,,2024/12/26,to-read,to-read (#710),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",0,4.24,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2024/12/26,to-read,to-read (#709),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2024/12/26,to-read,to-read (#708),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2024/12/26,to-read,to-read (#707),to-read,,,,0,0
13023,Alice in Wonderland,Jane Carruth,"Carruth, Jane","Lewis Carroll, Rene Cloke","=""0517223627""","=""9780517223628""",0,4.03,Gramercy,Hardcover,96,2004,1865,,2024/12/26,to-read,to-read (#705),to-read,,,,0,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",0,4.09,Bethany House Publishers ,Paperback,184,1999,1843,,2024/12/26,to-read,to-read (#706),to-read,,,,0,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,"=""0571224385""","=""9780571224388""",0,4.11,Harper Perennial,Paperback,314,2009,1984,,2024/12/26,to-read,to-read (#704),to-read,,,,0,0
412732,The Dharma Bums,Jack Kerouac,"Kerouac, Jack",,"=""""","=""""",0,3.93,Penguin Books,Paperback,244,1986,1958,,2024/12/26,to-read,to-read (#702),to-read,,,,0,0
2956,"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",0,3.83,Penguin Classics,Paperback,327,2002,1885,,2024/12/26,to-read,to-read (#703),to-read,,,,0,0
4031,Lunar Park,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0375727272""","=""9780375727276""",0,3.65,Vintage,Paperback,404,2006,2005,,2024/12/26,to-read,to-read (#701),to-read,,,,0,0
36236125,Invisible Monsters,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355950""","=""9780393355956""",0,4.00,W. W. Norton & Company,Paperback,304,2018,1999,,2024/12/26,to-read,to-read (#699),to-read,,,,0,0
